Class,H_len,H_upp_len,H_dot,H_com,H_lt,CC_exists,S_len,S_upp_len,S_emoji_has,S_lit_has,S_percent_has,S_dollar_has,S_euro_has,S_excl_has,S_dot_has,S_bold_has,S_quote_count,S_dot_count,S_dash_count,S_excl_count,Time_minutes_past,B_len,B_upp_len,B_emoji_has,B_lit_has,B_percent_has,B_dollar_has,B_euro_has,B_excl_has,B_dot_has,B_bold_has,B_quote_count,B_dot_count,B_dash_count,B_excl_count,B_subscribe_has,B_https_has,B_html_has,B_tag_len
0,48,0.1,0,1,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,17.58,74008,0,1,0,1,0,0,1,1,0,2.98,0.25,2.32,0.23,1,1,0,1.64
0,41,0.02,0,1,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,21.65,10374,0,0,0,1,0,0,1,1,0,4.49,0.68,1.17,0.14,0,1,1,2.29
0,41,0.02,0,1,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,10380,0,0,0,1,0,0,1,1,0,4.49,0.68,1.16,0.14,0,1,1,2.29
0,43,0.05,0,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,19.45,11856,0,0,0,1,0,0,1,1,0,1.96,0.91,3.21,0.65,1,1,1,1.37
0,35,0.09,0,0,0,0,35,0,0,0,0,0,0,0,1,0,0,1,0,0,19.62,17107,0,0,0,1,0,0,1,1,0,2.62,0.58,1.92,0.3,0,1,1,1.13
0,37,0.03,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,11.35,5501,0,0,0,1,0,0,1,1,0,2.69,1.09,1.69,0.02,0,1,1,1.49
0,37,0.03,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,10.93,5386,0,0,0,1,0,0,1,1,0,2.75,1.04,1.62,0.02,0,1,1,1.58
0,58,0.03,0,0,1,0,41,0,0,1,0,0,0,0,0,0,0,0,0,0,13.18,11597,0,1,1,1,0,0,1,1,0,2.85,0.85,1.88,0.02,0,1,0,1.96
0,33,0.06,0,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05,5976,0,0,0,0,0,0,0,1,0,0.2,0.49,2.66,0.0,1,1,1,0.74
0,23,0.0,0,0,1,0,23,0,0,1,0,0,0,0,0,0,0,0,1,0,18.37,8956,0,0,1,1,0,1,1,1,0,1.85,1.07,2.1,0.31,0,1,1,1.13
