Class,H_len,H_upp_len,H_dot,H_com,H_lt,CC_exists,S_len,S_upp_len,S_emoji_has,S_lit_has,S_percent_has,S_dollar_has,S_euro_has,S_excl_has,S_dot_has,S_bold_has,S_quote_count,S_dot_count,S_dash_count,S_excl_count,Time_minutes_past,B_len,B_upp_len,B_emoji_has,B_lit_has,B_percent_has,B_dollar_has,B_euro_has,B_excl_has,B_dot_has,B_bold_has,B_quote_count,B_dot_count,B_dash_count,B_excl_count,B_subscribe_has,B_https_has,B_html_has,B_tag_len
1,38,0.03,0,0,1,0,54,0,1,1,0,0,0,1,0,0,0,0,1,1,29.07,119499,0,1,1,1,0,1,1,1,0,4.6,0.27,2.77,0.48,1,1,1,2.18
1,44,0.07,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8,25730,0,0,0,1,0,0,1,1,0,2.54,0.45,2.58,0.08,1,1,1,1.07
1,31,0.03,0,1,0,0,53,0,0,0,0,0,0,1,0,0,0,0,0,1,27.78,28647,0,0,0,1,1,0,1,1,0,3.51,0.5,2.41,0.66,1,1,1,1.84
1,39,0.05,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,2353,0,0,0,1,0,0,1,1,0,2.63,1.19,2.76,0.04,0,1,1,2.93
1,38,0.05,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,40838,0,0,0,1,0,0,1,1,0,1.6,0.48,1.73,0.52,0,1,1,0.92
1,38,0.05,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,7.12,32540,0,0,0,1,0,0,1,1,0,1.51,0.58,1.88,0.64,0,1,1,0.96
1,44,0.07,0,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,29579,0,0,0,1,0,0,1,1,0,2.31,0.41,2.47,0.08,1,1,1,0.98
1,50,0.06,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,3,0,0,22.98,76657,0,0,0,1,0,1,1,1,0,3.65,0.82,1.73,0.33,0,1,1,1.69
1,35,0.03,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,26.47,48653,0,0,0,1,0,0,1,1,0,1.35,0.36,2.51,0.05,0,1,1,0.75
1,17,0.18,0,0,1,0,35,0,0,1,0,0,0,1,0,0,0,0,0,1,29.72,56516,0,0,1,1,0,0,1,1,0,4.07,0.37,1.36,0.41,1,1,0,1.47
1,32,0.03,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,26.87,72955,0,0,0,1,0,0,1,1,0,1.2,0.35,2.18,0.45,0,1,1,0.74
1,44,0.07,0,1,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,24841,0,0,0,1,0,0,1,1,0,2.41,0.4,2.3,0.08,1,1,1,0.98
1,38,0.05,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,9.27,10039,0,1,0,1,1,0,1,1,0,2.11,0.6,1.29,0.17,1,1,1,2.22
1,39,0.05,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,18.63,3066,0,1,0,0,1,0,1,1,0,0.72,0.85,2.64,0.13,0,1,1,0.95
1,32,0.03,0,1,0,0,55,0,0,0,0,0,1,0,1,0,0,1,0,0,15.3,205558,0,0,0,1,0,1,1,1,0,1.25,0.31,2.4,0.21,1,1,1,0.63
1,26,0.08,0,0,1,0,36,0,1,1,0,0,0,1,0,0,0,0,0,1,3.37,28564,0,1,1,1,0,0,1,1,0,2.38,0.63,3.14,0.16,0,1,1,1.17
1,33,0.09,0,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,28.93,44372,0,0,0,1,0,0,1,1,0,1.63,0.45,1.3,0.13,1,1,1,1.13
1,32,0.03,0,1,0,0,53,0,0,0,0,0,1,1,1,0,0,2,0,1,17.22,126360,0,0,0,1,0,1,1,1,0,1.3,0.32,2.29,0.3,1,1,1,0.73
1,37,0.03,0,1,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,10656,0,1,0,1,0,0,1,1,0,1.63,1.06,1.67,0.01,0,1,1,1.08
